tested word	predicted word
raf	sad
ward	yard
tonnes	toomer
rape	rare
resort	report
no	on
hate	have
eg	eh
alex	blew
concert	concept
purchaser	purchases
gear	hear
ray	say
tie	the
earl	dark
fat	eat
refer	seeds
stick	quick
arises	crises
roy	row
kit	lit
die	did
mm	on
easter	faster
pat	sat
bye	aye
tide	tied
pit	sit
pond	some
damp	fans
bond	come
q	s
dull	full
lose	lord
lover	loves
ride	side
note	move
neat	meat
fig	egg
liver	lives
w	x
maps	mass
mine	mind
plc	pla
surrey	sussex
no	on
dose	ford
hiv	hit
moves	notes
dec	fda
acres	cases
lake	jake
pc	pa
crops	cross
barrier	carries
cats	acts
kid	lie
lay	law
bases	cases
ph	si
prey	prew
lords	loses
loud	love
mild	mike
dc	da
dish	fish
rope	rose
mature	nature
chap	bias
balls	calls
crop	arms
join	john
mick	nick
cook	book
ends	does
inn	gon
sums	stop
ie	he
leaf	lead
dear	fear
ye	we
pays	says
j	k
fa	da
gang	hang
mobility	nobility
fan	dan
barriers	carriers
jordan	korean
urged	tried
ward	yard
selected	rejected
sequences	september
mines	minds
earn	farm
rejection	selection
boot	cont
km	jo
jan	jam
stick	quick
care	case
deck	deal
kiss	lips
mps	mrs
trick	trial
bonus	boots
nt	mt
shelf	rifle
wear	year
ici	hag
w	x
aged	aide
supplier	supplies
server	serves
cow	any
pole	role
striker	strikes
kim	jim
jet	let
pope	rose
runs	stop
ron	son
lorry	korry
pet	set
drank	frank
yep	yes
raid	said
sing	ring
ms	or
beans	adams
receives	receiver
gods	goes
pubs	star
woke	wolf
rally	sally
carrier	carries
sacred	scared
privatisation	ppgtatgpatgmm
sara	papa
br	as
suite	quite
poles	roles
blues	alter
tales	takes
scots	pants
bold	cold
lies	kids
r	s
then	them
rush	push
basin	cargo
seasons	reasons
carers	caress
cows	boys
pan	ran
intel	hotel
pint	shot
walks	walls
bile	bike
rounds	sounds
corn	born
ride	side
eec	fda
trades	trader
shelves	shelter
mps	mrs
duck	fuck
earning	farming
slim	skin
pipes	rises
dual	fuck
pigs	ship
zones	woods
ft	du
rage	said
lay	law
ace	bad
truck	usual
max	may
dare	ease
ml	ok
pie	she
lump	jump
clue	blue
z	x
comprising	conspiring
fond	done
imf	god
ed	de
ports	sorts
wines	winds
pm	so
polls	rolls
yo	wo
view	they
bosnia	cosmic
cd	be
jaw	law
am	an
gaps	harp
shy	six
movies	mother
shah	rich
invention	intention
centred	bemused
clive	alive
mask	mark
anc	bob
bride	cried
lid	lie
mice	nice
beam	adam
graph	iraqi
rat	sat
p	s
pump	stop
sank	rank
sink	pink
biscuits	circuits
grim	grin
acids	cages
hip	his
stick	quick
phases	shares
hp	is
reject	select
worlds	worker
bond	come
gall	hall
maker	makes
cage	acid
loudly	lovely
booked	cooked
lanes	james
seal	real
noting	moving
emailinc	dmagjgma
pots	soup
ego	dim
pine	shoe
lecturer	lectures
maths	mavis
bells	cells
rating	saving
bow	any
peaks	seals
eve	due
cakes	baker
socks	rocks
spine	prime
gp	is
shed	side
gdp	her
aloud	cloud
dairy	daisy
notions	motions
revised	retired
pits	sits
rna	rob
von	too
o	m
ram	ran
jay	law
sodium	podium
bp	as
eva	etc
non	mom
deer	deep
convert	contest
resting	serving
lay	law
rider	sides
paid	said
riot	shot
ad	be
dating	eating
trustee	trusted
phoned	pinned
peat	seat
verb	vera
fax	day
fist	dirt
rory	rosy
bass	cars
treasurer	treasures
hi	ii
ageing	aiding
cheques	chester
itv	hut
ruler	rules
g	i
sorted	posted
motif	movie
clues	alter
yarn	warm
riots	shots
slave	plate
relied	relief
defects	effects
cart	cast
dos	for
ringing	singing
di	eh
pope	rose
pin	sin
signing	shining
scotvec	pamttda
ad	be
altar	clubs
loch	koch
speeds	prefer
coache	bobbie

Tested: 8447
Wrong: 614
Correct 7833
correct: 92.73114715283532 %
